,Line Type,Plan Type,Data Type,Promo Type,Model,Promo Value,Brand,Week,Date,Retailer,Type
116,NULL,NULL,NULL,Bundle ,Apple iPhone 13 mini,0,Apple,W19,8th May,Vodafone,Vodafone
117,NULL,NULL,NULL,Free Subscription,Apple iPhone 13 mini,0,Apple,W19,8th May,Vodafone,Vodafone
118,NULL,NULL,NULL,Unique Discount,Apple iPhone 13 mini,0,Apple,W19,8th May,Vodafone,Vodafone
119,NULL,NULL,NULL,Trade in Exclusive,Apple iPhone 13 mini,471,Apple,W19,8th May,Vodafone,Vodafone
120,NULL,NULL,NULL,Voucher Rate Plan,Samsung Galaxy S22,0,Samsung,W19,8th May,Vodafone,Vodafone
121,NULL,NULL,NULL,Trade in bump up,Samsung Galaxy S22,120,Samsung,W19,8th May,Vodafone,Vodafone
122,NULL,NULL,NULL,Bundle ,Samsung Galaxy S22,0,Samsung,W19,8th May,Vodafone,Vodafone
123,NULL,NULL,NULL,Free Subscription,Samsung Galaxy S22,0,Samsung,W19,8th May,Vodafone,Vodafone
124,NULL,NULL,NULL,Unique Discount,Samsung Galaxy S22,0,Samsung,W19,8th May,Vodafone,Vodafone
125,NULL,NULL,NULL,Trade in Exclusive,Samsung Galaxy S22,471,Samsung,W19,8th May,Vodafone,Vodafone
126,NULL,NULL,NULL,Voucher Rate Plan,Samsung Galaxy S23,0,Samsung,W19,8th May,Vodafone,Vodafone
127,NULL,NULL,NULL,Trade in bump up,Samsung Galaxy S23,120,Samsung,W19,8th May,Vodafone,Vodafone
128,NULL,NULL,NULL,Bundle ,Samsung Galaxy S23,0,Samsung,W19,8th May,Vodafone,Vodafone
129,NULL,NULL,NULL,Free Subscription,Samsung Galaxy S23,0,Samsung,W19,8th May,Vodafone,Vodafone
130,NULL,NULL,NULL,Unique Discount,Samsung Galaxy S23,0,Samsung,W19,8th May,Vodafone,Vodafone
131,NULL,NULL,NULL,Trade in Exclusive,Samsung Galaxy S23,471,Samsung,W19,8th May,Vodafone,Vodafone
132,NULL,NULL,NULL,Voucher Rate Plan,Samsung S21 FE,0,Samsung,W19,8th May,Vodafone,Vodafone
133,NULL,NULL,NULL,Trade in bump up,Samsung S21 FE,120,Samsung,W19,8th May,Vodafone,Vodafone
134,NULL,NULL,NULL,Bundle ,Samsung S21 FE,0,Samsung,W19,8th May,Vodafone,Vodafone
135,NULL,NULL,NULL,Free Subscription,Samsung S21 FE,0,Samsung,W19,8th May,Vodafone,Vodafone
136,NULL,NULL,NULL,Unique Discount,Samsung S21 FE,0,Samsung,W19,8th May,Vodafone,Vodafone
137,NULL,NULL,NULL,Trade in Exclusive,Samsung S21 FE,471,Samsung,W19,8th May,Vodafone,Vodafone
138,NULL,NULL,NULL,Voucher Rate Plan,Google Pixel 7a,0,Google,W19,8th May,Vodafone,Vodafone
139,NULL,NULL,NULL,Trade in bump up,Google Pixel 7a,0,Google,W19,8th May,Vodafone,Vodafone
140,NULL,NULL,NULL,Bundle ,Google Pixel 7a,99,Google,W19,8th May,Vodafone,Vodafone
141,NULL,NULL,NULL,Free Subscription,Google Pixel 7a,0,Google,W19,8th May,Vodafone,Vodafone
142,NULL,NULL,NULL,Unique Discount,Google Pixel 7a,0,Google,W19,8th May,Vodafone,Vodafone
143,NULL,NULL,NULL,Trade in Exclusive,Google Pixel 7a,471,Google,W19,8th May,Vodafone,Vodafone
144,NULL,NULL,NULL,Voucher Rate Plan,Google Pixel 6a,0,Google,W19,8th May,Vodafone,Vodafone
145,NULL,NULL,NULL,Trade in bump up,Google Pixel 6a,0,Google,W19,8th May,Vodafone,Vodafone
146,NULL,NULL,NULL,Bundle ,Google Pixel 6a,0,Google,W19,8th May,Vodafone,Vodafone
147,NULL,NULL,NULL,Free Subscription,Google Pixel 6a,0,Google,W19,8th May,Vodafone,Vodafone
